community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,max_edges_fixed,density_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,max_edges_orig,density_orig,density_diff,n_nodes_match
908,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
909,4,4,3,6,0.5,2,2,0,1,0,0.5,FALSE
910,2,2,1,1,1,4,4,0,6,0,1,FALSE
911,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
912,2,2,1,1,1,2,2,0,1,0,1,TRUE
913,2,2,1,1,1,2,2,0,1,0,1,TRUE
914,2,2,1,1,1,2,2,0,1,0,1,TRUE
915,2,2,1,1,1,2,2,0,1,0,1,TRUE
916,2,2,1,1,1,2,2,0,1,0,1,TRUE
917,2,2,1,1,1,2,2,0,1,0,1,TRUE
918,2,2,1,1,1,2,2,0,1,0,1,TRUE
919,2,2,1,1,1,2,2,0,1,0,1,TRUE
920,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
921,2,2,1,1,1,2,2,0,1,0,1,TRUE
922,2,2,1,1,1,2,2,0,1,0,1,TRUE
923,2,2,1,1,1,2,2,0,1,0,1,TRUE
924,2,2,1,1,1,2,2,0,1,0,1,TRUE
925,2,2,1,1,1,2,2,0,1,0,1,TRUE
926,2,2,1,1,1,2,2,0,1,0,1,TRUE
927,2,2,1,1,1,2,2,0,1,0,1,TRUE
928,2,2,1,1,1,2,2,0,1,0,1,TRUE
929,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
930,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
931,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
932,2,2,1,1,1,2,2,0,1,0,1,TRUE
933,3,3,2,3,0.666666666666667,2,2,0,1,0,0.666666666666667,FALSE
934,2,2,1,1,1,3,3,0,3,0,1,FALSE
935,2,2,1,1,1,2,2,0,1,0,1,TRUE
936,2,2,1,1,1,2,2,0,1,0,1,TRUE
937,2,2,1,1,1,2,2,0,1,0,1,TRUE
938,2,2,1,1,1,2,2,0,1,0,1,TRUE
939,2,2,1,1,1,2,2,0,1,0,1,TRUE
940,2,2,1,1,1,2,2,0,1,0,1,TRUE
941,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
942,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
943,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
944,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
945,2,2,1,1,1,2,2,0,1,0,1,TRUE
946,2,2,1,1,1,2,2,0,1,0,1,TRUE
947,2,2,1,1,1,2,2,0,1,0,1,TRUE
948,2,2,1,1,1,2,2,0,1,0,1,TRUE
949,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
950,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
951,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
952,2,2,1,1,1,2,2,0,1,0,1,TRUE
953,2,2,1,1,1,2,2,0,1,0,1,TRUE
954,2,2,1,1,1,2,2,0,1,0,1,TRUE
955,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
956,2,2,1,1,1,2,2,0,1,0,1,TRUE
957,2,2,1,1,1,2,2,0,1,0,1,TRUE
958,2,2,1,1,1,2,2,0,1,0,1,TRUE
959,2,2,1,1,1,2,2,0,1,0,1,TRUE
960,2,2,1,1,1,2,2,0,1,0,1,TRUE
961,2,2,1,1,1,2,2,0,1,0,1,TRUE
962,2,2,1,1,1,2,2,0,1,0,1,TRUE
963,2,2,1,1,1,2,2,0,1,0,1,TRUE
964,2,2,1,1,1,2,2,0,1,0,1,TRUE
965,2,2,1,1,1,2,2,0,1,0,1,TRUE
966,2,2,1,1,1,2,2,0,1,0,1,TRUE
967,2,2,1,1,1,2,2,0,1,0,1,TRUE
968,2,2,1,1,1,2,2,0,1,0,1,TRUE
969,2,2,1,1,1,2,2,0,1,0,1,TRUE
970,2,2,1,1,1,3,3,0,3,0,1,FALSE
971,3,3,2,3,0.666666666666667,2,2,0,1,0,0.666666666666667,FALSE
972,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
973,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
974,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
975,2,2,1,1,1,2,2,0,1,0,1,TRUE
976,2,2,1,1,1,2,2,0,1,0,1,TRUE
977,2,2,1,1,1,2,2,0,1,0,1,TRUE
978,2,2,1,1,1,2,2,0,1,0,1,TRUE
979,2,2,1,1,1,2,2,0,1,0,1,TRUE
980,2,2,1,1,1,2,2,0,1,0,1,TRUE
981,2,2,1,1,1,2,2,0,1,0,1,TRUE
982,2,2,1,1,1,2,2,0,1,0,1,TRUE
983,2,2,1,1,1,2,2,0,1,0,1,TRUE
984,2,2,1,1,1,2,2,0,1,0,1,TRUE
985,2,2,1,1,1,2,2,0,1,0,1,TRUE
986,2,2,1,1,1,2,2,0,1,0,1,TRUE
987,2,2,1,1,1,2,2,0,1,0,1,TRUE
988,2,2,1,1,1,2,2,0,1,0,1,TRUE
989,2,2,1,1,1,2,2,0,1,0,1,TRUE
990,2,2,1,1,1,2,2,0,1,0,1,TRUE
991,2,2,1,1,1,2,2,0,1,0,1,TRUE
992,2,2,1,1,1,2,2,0,1,0,1,TRUE
993,2,2,1,1,1,2,2,0,1,0,1,TRUE
994,2,2,1,1,1,2,2,0,1,0,1,TRUE
995,2,2,1,1,1,2,2,0,1,0,1,TRUE
996,2,2,1,1,1,2,2,0,1,0,1,TRUE
997,2,2,1,1,1,2,2,0,1,0,1,TRUE
998,2,2,1,1,1,2,2,0,1,0,1,TRUE
999,2,2,1,1,1,2,2,0,1,0,1,TRUE
1000,2,2,1,1,1,2,2,0,1,0,1,TRUE
1001,2,2,1,1,1,2,2,0,1,0,1,TRUE
1002,2,2,1,1,1,2,2,0,1,0,1,TRUE
1003,2,2,1,1,1,2,2,0,1,0,1,TRUE
1004,2,2,1,1,1,2,2,0,1,0,1,TRUE
1005,2,2,1,1,1,2,2,0,1,0,1,TRUE
1006,2,2,1,1,1,2,2,0,1,0,1,TRUE
1007,2,2,1,1,1,2,2,0,1,0,1,TRUE
1008,4,4,3,6,0.5,4,4,0,6,0,0.5,TRUE
1009,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
1010,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
1011,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
1012,2,2,1,1,1,2,2,0,1,0,1,TRUE
1013,2,2,1,1,1,2,2,0,1,0,1,TRUE
1014,3,3,2,3,0.666666666666667,3,3,0,3,0,0.666666666666667,TRUE
1015,2,2,1,1,1,2,2,0,1,0,1,TRUE
1016,2,2,1,1,1,2,2,0,1,0,1,TRUE
1017,2,2,1,1,1,2,2,0,1,0,1,TRUE
1018,2,2,1,1,1,2,2,0,1,0,1,TRUE
1019,2,2,1,1,1,2,2,0,1,0,1,TRUE
1020,2,2,1,1,1,2,2,0,1,0,1,TRUE
1021,2,2,1,1,1,2,2,0,1,0,1,TRUE
1022,2,2,1,1,1,2,2,0,1,0,1,TRUE
