community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,mean_degree_fixed,median_degree_fixed,max_degree_fixed,min_degree_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,mean_degree_orig,median_degree_orig,max_degree_orig,min_degree_orig,degree_diff
1473,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1474,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1475,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1476,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1477,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1478,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1479,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1480,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1481,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1482,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1483,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1484,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1485,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1486,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1487,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1488,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1489,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1490,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1491,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1492,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1493,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1494,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1495,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1496,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1497,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1498,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1499,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1500,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1501,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1502,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1503,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1504,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1505,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1506,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1507,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1508,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1509,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1510,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1511,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1512,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1513,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1514,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1515,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1516,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1517,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1518,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1519,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1520,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1521,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1522,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1523,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1524,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1525,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1526,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1527,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1528,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1529,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1530,2,2,1,1,1,1,1,3,3,0,0,0,0,0,1
1531,3,3,2,1.33333333333333,1,2,1,2,2,0,0,0,0,0,1.33333333333333
1532,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1533,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1534,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1535,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1536,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1537,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1538,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1539,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1540,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1541,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1542,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1543,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1544,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1545,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1546,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1547,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1548,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1549,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1550,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1551,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1552,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1553,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1554,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1555,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1556,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1557,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1558,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1559,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1560,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1561,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1562,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1563,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1564,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1565,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1566,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1567,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1568,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1569,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1570,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1571,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1572,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1573,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1574,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1575,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1576,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1577,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1578,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1579,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1580,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1581,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1582,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1583,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1584,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1585,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1586,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1587,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1588,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1589,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1590,4,4,3,1.5,1.5,2,1,4,4,0,0,0,0,0,1.5
1591,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1592,3,3,2,1.33333333333333,1,2,1,3,3,0,0,0,0,0,1.33333333333333
1593,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1594,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1595,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1596,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1597,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
1598,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1
