community_id,n_nodes_fixed,n_vertices_fixed,n_edges_fixed,is_connected_fixed,diameter_fixed,n_nodes_orig,n_vertices_orig,n_edges_orig,is_connected_orig,diameter_orig,diameter_diff
950,3,3,2,TRUE,2,3,3,0,FALSE,,
951,3,3,2,TRUE,2,3,3,0,FALSE,,
952,2,2,1,TRUE,1,2,2,0,FALSE,,
953,2,2,1,TRUE,1,2,2,0,FALSE,,
954,2,2,1,TRUE,1,2,2,0,FALSE,,
955,3,3,2,TRUE,2,3,3,0,FALSE,,
956,2,2,1,TRUE,1,2,2,0,FALSE,,
957,2,2,1,TRUE,1,2,2,0,FALSE,,
958,2,2,1,TRUE,1,2,2,0,FALSE,,
959,2,2,1,TRUE,1,2,2,0,FALSE,,
960,2,2,1,TRUE,1,2,2,0,FALSE,,
961,2,2,1,TRUE,1,2,2,0,FALSE,,
962,2,2,1,TRUE,1,2,2,0,FALSE,,
963,2,2,1,TRUE,1,2,2,0,FALSE,,
964,2,2,1,TRUE,1,2,2,0,FALSE,,
965,2,2,1,TRUE,1,2,2,0,FALSE,,
966,2,2,1,TRUE,1,2,2,0,FALSE,,
967,2,2,1,TRUE,1,2,2,0,FALSE,,
968,2,2,1,TRUE,1,2,2,0,FALSE,,
969,2,2,1,TRUE,1,2,2,0,FALSE,,
970,2,2,1,TRUE,1,3,3,0,FALSE,,
971,3,3,2,TRUE,2,2,2,0,FALSE,,
972,4,4,3,TRUE,3,4,4,0,FALSE,,
973,3,3,2,TRUE,2,3,3,0,FALSE,,
974,3,3,2,TRUE,2,3,3,0,FALSE,,
975,2,2,1,TRUE,1,2,2,0,FALSE,,
976,2,2,1,TRUE,1,2,2,0,FALSE,,
977,2,2,1,TRUE,1,2,2,0,FALSE,,
978,2,2,1,TRUE,1,2,2,0,FALSE,,
979,2,2,1,TRUE,1,2,2,0,FALSE,,
980,2,2,1,TRUE,1,2,2,0,FALSE,,
981,2,2,1,TRUE,1,2,2,0,FALSE,,
982,2,2,1,TRUE,1,2,2,0,FALSE,,
983,2,2,1,TRUE,1,2,2,0,FALSE,,
984,2,2,1,TRUE,1,2,2,0,FALSE,,
985,2,2,1,TRUE,1,2,2,0,FALSE,,
986,2,2,1,TRUE,1,2,2,0,FALSE,,
987,2,2,1,TRUE,1,2,2,0,FALSE,,
988,2,2,1,TRUE,1,2,2,0,FALSE,,
989,2,2,1,TRUE,1,2,2,0,FALSE,,
990,2,2,1,TRUE,1,2,2,0,FALSE,,
991,2,2,1,TRUE,1,2,2,0,FALSE,,
992,2,2,1,TRUE,1,2,2,0,FALSE,,
993,2,2,1,TRUE,1,2,2,0,FALSE,,
994,2,2,1,TRUE,1,2,2,0,FALSE,,
995,2,2,1,TRUE,1,2,2,0,FALSE,,
996,2,2,1,TRUE,1,2,2,0,FALSE,,
997,2,2,1,TRUE,1,2,2,0,FALSE,,
998,2,2,1,TRUE,1,2,2,0,FALSE,,
999,2,2,1,TRUE,1,2,2,0,FALSE,,
1000,2,2,1,TRUE,1,2,2,0,FALSE,,
1001,2,2,1,TRUE,1,2,2,0,FALSE,,
1002,2,2,1,TRUE,1,2,2,0,FALSE,,
1003,2,2,1,TRUE,1,2,2,0,FALSE,,
1004,2,2,1,TRUE,1,2,2,0,FALSE,,
1005,2,2,1,TRUE,1,2,2,0,FALSE,,
1006,2,2,1,TRUE,1,2,2,0,FALSE,,
1007,2,2,1,TRUE,1,2,2,0,FALSE,,
1008,4,4,3,TRUE,3,4,4,0,FALSE,,
1009,3,3,2,TRUE,2,3,3,0,FALSE,,
1010,3,3,2,TRUE,2,3,3,0,FALSE,,
1011,3,3,2,TRUE,2,3,3,0,FALSE,,
1012,2,2,1,TRUE,1,2,2,0,FALSE,,
1013,2,2,1,TRUE,1,2,2,0,FALSE,,
1014,3,3,2,TRUE,2,3,3,0,FALSE,,
1015,2,2,1,TRUE,1,2,2,0,FALSE,,
1016,2,2,1,TRUE,1,2,2,0,FALSE,,
1017,2,2,1,TRUE,1,2,2,0,FALSE,,
1018,2,2,1,TRUE,1,2,2,0,FALSE,,
1019,2,2,1,TRUE,1,2,2,0,FALSE,,
1020,2,2,1,TRUE,1,2,2,0,FALSE,,
1021,2,2,1,TRUE,1,2,2,0,FALSE,,
1022,2,2,1,TRUE,1,2,2,0,FALSE,,
1023,2,2,1,TRUE,1,2,2,0,FALSE,,
1024,3,3,2,TRUE,2,2,2,0,FALSE,,
1025,2,2,1,TRUE,1,3,3,0,FALSE,,
1026,2,2,1,TRUE,1,2,2,0,FALSE,,
1027,2,2,1,TRUE,1,2,2,0,FALSE,,
1028,2,2,1,TRUE,1,2,2,0,FALSE,,
1029,2,2,1,TRUE,1,2,2,0,FALSE,,
1030,2,2,1,TRUE,1,2,2,0,FALSE,,
1031,2,2,1,TRUE,1,2,2,0,FALSE,,
1032,2,2,1,TRUE,1,2,2,0,FALSE,,
1033,2,2,1,TRUE,1,2,2,0,FALSE,,
1034,2,2,1,TRUE,1,2,2,0,FALSE,,
1035,2,2,1,TRUE,1,2,2,0,FALSE,,
